  0 ,  0.004741 
  1 ,  0.001126 
  2 ,  0.000483 
  3 ,  0.000334 
  4 ,  0.000264 
  5 ,  0.000178 
  6 ,  0.000125 
  7 ,  0.000158 
  8 ,  0.000136 
  9 ,  0.000116 
  10 ,  0.000153 
  11 ,  0.000157 
  12 ,  0.000114 
  13 ,  0.000127 
  14 ,  0.000153 
  15 ,  0.000124 
  16 ,  0.000117 
  17 ,  0.000147 
  18 ,  0.000135 
  19 ,  0.000102 
  20 ,  0.000140 
  21 ,  0.000148 
  22 ,  0.000114 
  23 ,  0.000172 
  24 ,  0.000359 
  25 ,  0.000696 
  26 ,  0.000896 
  27 ,  0.002140 
  28 ,  0.004824 
  29 ,  0.025260 
  30 ,  0.004741 
  31 ,  0.001126 
  32 ,  0.000483 
  33 ,  0.000334 
  34 ,  0.000264 
  35 ,  0.000178 
  36 ,  0.000125 
  37 ,  0.000158 
  38 ,  0.000136 
  39 ,  0.000116 
  40 ,  0.000153 
  41 ,  0.000157 
  42 ,  0.000114 
  43 ,  0.000127 
  44 ,  0.000153 
  45 ,  0.000124 
  46 ,  0.000117 
  47 ,  0.000147 
  48 ,  0.000135 
  49 ,  0.000102 
  50 ,  0.000140 
  51 ,  0.000148 
  52 ,  0.000114 
  53 ,  0.000172 
  54 ,  0.000359 
  55 ,  0.000696 
  56 ,  0.000896 
  57 ,  0.002140 
  58 ,  0.004824 
  59 ,  0.025260 
